,original,word_segmentation,Correct,v2,Correct 2,v2_twitter,Correct 3,v3_twitter,
0,porlaviaxlavida,por la via x la vida,1,por la via x la vida,1,por la via x la vida,1,por la via x la vida,VERDADERO
1,otraperiodista,otra periodista,1,otra periodista,1,otra periodista,1,otra periodista,VERDADERO
2,genmasenergia,gen mas energia,1,gen mas energia,1,gen mas energia,1,gen mas energia,VERDADERO
3,eldivinonene,el divino nene,1,el divino nene,1,el divino nene,1,el divino nene,VERDADERO
4,transitopolicia,transito policia,1,transito policia,1,transito policia,1,transito policia,VERDADERO
5,clustergastronomia,cluster gastronomia,1,cluster gastronomia,1,cluster gastronomia,1,cluster gastronomia,VERDADERO
6,inviasoficial,invias oficial,1,invias oficial,1,invias oficial,1,invias oficial,VERDADERO
7,elmundoruedaxse,el mundo rueda x se,1,el mundo rueda x se,1,el mundo rueda x se,1,el mundo rueda x se,VERDADERO
8,mepasoalafm,me paso a la fm,1,me paso a la fm,1,me paso a la fm,1,me paso a la fm,VERDADERO
9,sehumano,se humano,1,se humano,1,se humano,1,se humano,VERDADERO
10,romerovive,romero vive,1,romero vive,1,romero vive,1,romero vive,VERDADERO
11,vamosmillosalafinal,vamos mil los a la final,0,vamos mil los a la final,0,vamos millos a la final,1,vamos millos a la final,VERDADERO
12,mejorperiodo,mejor periodo,1,mejor periodo,1,mejor periodo,1,mejor periodo,VERDADERO
13,conductoragresivo,conductor agresivo,1,conductor agresivo,1,conductor agresivo,1,conductor agresivo,VERDADERO
14,caracolradio,caracol radio,1,caracol radio,1,caracolradio,1,caracolradio,VERDADERO
15,transmiseria,trans miseria,1,trans miseria,1,transmiseria,1,transmiseria,VERDADERO
16,novoyalandino,no voy al andino,1,no voy al andino,1,no voy al andino,1,no voy al andino,VERDADERO
17,transilenio,transi le ni o,0,transi le ni o,0,transi le ni o,0,transi le ni o,VERDADERO
18,elcrimendelsiglo,el crimen del siglo,1,el crimen del siglo,1,el crimen del siglo,1,el crimen del siglo,VERDADERO
19,viajaryganar,viajar y ganar,1,viajar y ganar,1,viajar y ganar,1,viajar y ganar,VERDADERO
20,adoptada,adoptada,1,adoptada,1,adoptada,1,adoptada,VERDADERO
21,felizmartes,feliz martes,1,feliz martes,1,feliz martes,1,feliz martes,VERDADERO
22,chinchemejia,chinche mejia,1,chinche mejia,1,chinche mejia,1,chinche mejia,VERDADERO
23,americas,americas,1,americas,1,americas,1,americas,VERDADERO
24,malparqueada,mal parque a da,0,mal parque a da,0,mal parqueada,1,mal parqueada,VERDADERO
25,ayuno,ayuno,1,ayuno,1,ayuno,1,ayuno,VERDADERO
26,sejuegaaestahora,se juega a esta hora,1,se juega a esta hora,1,se juega a esta hora,1,se juega a esta hora,VERDADERO
27,transitobogotad,transito bogota d,1,transito bogota d,1,transito bogota d,1,transito bogota d,VERDADERO
28,los120segundosdelgato,los 120 segundos del gato,1,los 120 segundos del gato,1,los 120 segundos del gato,1,los 120 segundos del gato,VERDADERO
29,endesarrollo,en desarrollo,1,en desarrollo,1,en desarrollo,1,en desarrollo,VERDADERO
30,jorgeantoniovega,jorge antonio vega,1,jorge antonio vega,1,jorge antonio vega,1,jorge antonio vega,VERDADERO
31,cronicastransmi,cronicas transmi,1,cronicas transmi,1,cronicas transmi,1,cronicas transmi,VERDADERO
32,jotavolatil,jota volatil,1,jota volatil,1,jota volatil,1,jota volatil,VERDADERO
33,reportan,reportan,1,reportan,1,reportan,1,reportan,VERDADERO
34,sitpbogota,sitp bogota,1,sitp bogota,1,sitpbogota,1,sitpbogota,VERDADERO
35,tempranoesmasbacano,temprano es mas baca no,0,temprano es mas baca no,0,temprano es mas bacano,1,temprano es mas bacano,VERDADERO
36,noticiasrcn,noticias rcn,1,noticias rcn,1,noticiasrcn,1,noticiasrcn,VERDADERO
37,canalrcn,canal rcn,1,canal rcn,1,canalrcn,1,canalrcn,VERDADERO
38,rappicolombia,rapp i colombia,0,rapp i colombia,0,rappi colombia,1,rappi colombia,VERDADERO
39,auntengohambre,a un tengo hambre,0,aun tengo hambre,1,aun tengo hambre,1,aun tengo hambre,VERDADERO
40,cesarflechas,cesar flechas,1,cesar flechas,1,cesar flechas,1,cesar flechas,VERDADERO
41,noctambulocity,noct ambu lo city,0,noctambulo city,1,noctambulo city,1,noctambulo city,VERDADERO
42,eltiempo,el tiempo,1,el tiempo,1,el tiempo,1,el tiempo,VERDADERO
43,ottogerardo,otto gerardo,1,otto gerardo,1,otto gerardo,1,otto gerardo,VERDADERO
44,policiabogota,policia bogota,1,policia bogota,1,policiabogota,0,policiabogota,VERDADERO
45,viviansalazar,vivian salazar,1,vivian salazar,1,vivian salazar,1,vivian salazar,VERDADERO
46,peluchesquiquesam,peluches quique sam,1,peluches quique sam,1,peluches quique sam,1,peluches quique sam,VERDADERO
47,fontibon,font ibon,0,fontibon,1,fontibon,1,fontibon,VERDADERO
48,stevenarce,steven arce,1,steven arce,1,steven arce,1,steven arce,VERDADERO
49,lacalera,la calera,1,la calera,1,la calera,1,la calera,VERDADERO
50,tmahora,tm ahora,1,tm ahora,1,tm ahora,1,tm ahora,VERDADERO
51,bogotasemueve,bogota se mueve,1,bogota se mueve,1,bogota se mueve,1,bogota se mueve,VERDADERO
52,noticiascapital,noticias capital,1,noticias capital,1,noticias capital,1,noticias capital,VERDADERO
53,prudenciaenlascalles,prudencia en las calles,1,prudencia en las calles,1,prudencia en las calles,1,prudencia en las calles,VERDADERO
54,naelamusic,naela music,1,naela music,1,naela music,1,naela music,VERDADERO
55,bluradioco,blu radio co,1,blu radio co,1,bluradioco,1,bluradioco,VERDADERO
56,seguridadbog,seguridad bog,1,seguridad bog,1,seguridadbog,1,seguridadbog,VERDADERO
57,lafmsiempre,la fm siempre,1,la fm siempre,1,la fm siempre,1,la fm siempre,VERDADERO
58,tranc,tranc,1,tranc,1,tranc,1,tranc,VERDADERO
59,sangre,sangre,1,sangre,1,sangre,1,sangre,VERDADERO
60,dictador3,dictador 3,1,dictador 3,1,dictador 3,1,dictador 3,VERDADERO
61,elojodlanoche,el ojo d la noche,1,el ojo d la noche,1,el ojo d la noche,1,el ojo d la noche,VERDADERO
62,eldandy,el dandy,1,el dandy,1,el dandy,1,el dandy,VERDADERO
63,puentearanda,puente aranda,1,puente aranda,1,puente aranda,1,puente aranda,VERDADERO
64,circunvalar,circunvalar,1,circunvalar,1,circunvalar,1,circunvalar,VERDADERO
65,fontibonsomost,font ibon somos t,0,fontibon somos t,1,fontibon somos t,1,fontibon somos t,VERDADERO
66,lafarradeespumas,la farra de espumas,1,la farra de espumas,1,la farra de espumas,1,la farra de espumas,VERDADERO
67,pachoherrerajr,pacho herrera jr,1,pacho herrera jr,1,pacho herrera jr,1,pacho herrera jr,VERDADERO
68,domingodememes,domingo de me mes,0,domingo de me mes,0,domingo de memes,1,domingo de memes,VERDADERO
69,camaradamotero,camarada motero,1,camarada motero,1,camarada motero,1,camarada motero,VERDADERO
70,ma,ma,1,ma,1,ma,1,ma,VERDADERO
71,civicosbog,civic os bog,0,civicos bog,1,civicos bog,1,civicos bog,VERDADERO
72,movilidad,movilidad,1,movilidad,1,movilidad,1,movilidad,VERDADERO
73,cavaderosas,cava de rosas,1,cava de rosas,1,cava de rosas,1,cava de rosas,VERDADERO
74,bocadeseleccion,boca de seleccion,1,boca de seleccion,1,boca de seleccion,1,boca de seleccion,VERDADERO
75,uimunicipalista,ui municipalista,1,ui municipalista,1,ui municipalista,1,ui municipalista,VERDADERO
76,elsaximena,elsa ximena,1,elsa ximena,1,elsa ximena,1,elsa ximena,VERDADERO
77,animalesbog,animales bog,1,animales bog,1,animales bog,1,animales bog,VERDADERO
78,incidentevial,incidente vial,1,incidente vial,1,incidente vial,1,incidente vial,VERDADERO
79,sitpayuda,sitp ayuda,1,sitp ayuda,1,sitp ayuda,1,sitp ayuda,VERDADERO
80,kindergartenclassroom,kindergarten classroom,1,kindergarten classroom,1,kindergarten classroom,1,kindergarten classroom,VERDADERO
81,central,central,1,central,1,central,1,central,VERDADERO
82,elluquillo,el luquillo,1,el luquillo,1,el luquillo,1,el luquillo,VERDADERO
83,entusiasmo,entusiasmo,1,entusiasmo,1,entusiasmo,1,entusiasmo,VERDADERO
84,porlosamigostuiteros,por los amigos tuiteros,1,por los amigos tuiteros,1,por los amigos tuiteros,1,por los amigos tuiteros,VERDADERO
85,lareinalagarto,la reina lagarto,1,la reina lagarto,1,la reina lagarto,1,la reina lagarto,VERDADERO
86,rcnradio,rcn radio,1,rcn radio,1,rcn radio,1,rcn radio,VERDADERO
87,sectormovilidad,sector movilidad,1,sector movilidad,1,sectormovilidad,1,sectormovilidad,VERDADERO
88,imprudencia,imprudencia,1,imprudencia,1,imprudencia,1,imprudencia,VERDADERO
89,noticiascaracol,noticias caracol,1,noticias caracol,1,noticiascaracol,1,noticiascaracol,VERDADERO
90,elteamdelafuria,el team de la furia,1,el team de la furia,1,el team de la furia,1,el team de la furia,VERDADERO
91,toyotas,toyotas,1,toyotas,1,toyotas,1,toyotas,VERDADERO
92,noticiasuno,noticias uno,1,noticias uno,1,noticias uno,1,noticias uno,VERDADERO
93,arribabogota,arriba bogota,1,arriba bogota,1,arriba bogota,1,arriba bogota,VERDADERO
94,movilidadtotal,movilidad total,1,movilidad total,1,movilidad total,1,movilidad total,VERDADERO
95,cablenoticiasqr,cable noticias qr,1,cable noticias qr,1,cablenoticias qr,1,cablenoticias qr,VERDADERO
96,lakalle,la kalle,1,la kalle,1,la kalle,1,la kalle,VERDADERO
97,elespectador,el espectador,1,el espectador,1,el espectador,1,el espectador,VERDADERO
98,ahora,ahora,1,ahora,1,ahora,1,ahora,VERDADERO
99,seguimoscontoda,seguimos con toda,1,seguimos con toda,1,seguimos con toda,1,seguimos con toda,VERDADERO
100,atravezdelvaso,atravez del vaso,1,atravez del vaso,1,atravez del vaso,1,atravez del vaso,VERDADERO
101,bestiasdriving,bestias driving,1,bestias driving,1,bestias driving,1,bestias driving,VERDADERO
102,transmilenio,transmilenio,1,transmilenio,1,transmilenio,1,transmilenio,VERDADERO
103,cazainfractor,caza infractor,1,caza infractor,1,caza infractor,1,caza infractor,VERDADERO
104,avenida,avenida,1,avenida,1,avenida,1,avenida,VERDADERO
105,pueblo,pueblo,1,pueblo,1,pueblo,1,pueblo,VERDADERO
106,forop,foro p,1,foro p,1,foro p,1,foro p,VERDADERO
107,trampasmortales,trampas mortales,1,trampas mortales,1,trampas mortales,1,trampas mortales,VERDADERO
108,calicalentura,cali calentura,1,cali calentura,1,cali calentura,1,cali calentura,VERDADERO
109,urgente,urgente,1,urgente,1,urgente,1,urgente,VERDADERO
110,impactoparanormal,impacto paranormal,1,impacto paranormal,1,impacto paranormal,1,impacto paranormal,VERDADERO
111,reporte,reporte,1,reporte,1,reporte,1,reporte,VERDADERO
112,socializar,socializar,1,socializar,1,socializar,1,socializar,VERDADERO
113,atencion,atencion,1,atencion,1,atencion,1,atencion,VERDADERO
114,facebooklive,facebook live,1,facebook live,1,facebook live,1,facebook live,VERDADERO
115,deespacio,de espacio,1,de espacio,1,de espacio,1,de espacio,VERDADERO
116,medimasepsnosedetiene,me dimas eps no se de tiene,0,medi mas eps no se de tiene,0,medimas eps no se de tiene,1,medimas eps no se de tiene,VERDADERO
117,bogotaparticipa,bogota participa,1,bogota participa,1,bogota participa,1,bogota participa,VERDADERO
118,fuerasanguinettiperdedor,fuera sanguinetti perdedor,1,fuera sanguinetti perdedor,1,fuera sanguinetti perdedor,1,fuera sanguinetti perdedor,VERDADERO
119,bogota,bogota,1,bogota,1,bogota,1,bogota,VERDADERO
120,tristeza,tristeza,1,tristeza,1,tristeza,1,tristeza,VERDADERO
121,accidentedetransitobogota,accidente de transito bogota,1,accidente de transito bogota,1,accidente de transito bogota,1,accidente de transito bogota,VERDADERO
122,tranviabgta,tranvia bgt a,0,tranvia bgt a,0,tranvia bgta,1,tranvia bgta,VERDADERO
123,laluciernaga,la lucie r naga,1,la luciernaga,1,la luciernaga,1,la luciernaga,VERDADERO
124,redmasnoticias,red mas noticias,1,red mas noticias,1,red mas noticias,1,red mas noticias,VERDADERO
125,citynoticiasfds,city noticias fds,1,city noticias fds,1,citynoticias fds,1,citynoticias fds,VERDADERO
126,redmastv,red mas tv,1,red mas tv,1,red mas tv,1,red mas tv,VERDADERO
127,citynoticiasmd,city noticias md,1,city noticias md,1,citynoticias md,1,citynoticias md,VERDADERO
128,bomberosbogota,bomberos bogota,1,bomberos bogota,1,bomberosbogota,0,bomberosbogota,VERDADERO
129,am,am,1,am,1,am,1,am,VERDADERO
130,infobogotaet,info bogota et,1,info bogota et,1,info bogota et,1,info bogota et,VERDADERO
131,noticia,noticia,1,noticia,1,noticia,1,noticia,VERDADERO
132,normandia,normandia,1,normandia,1,normandia,1,normandia,VERDADERO
133,tcccolombia,tcc colombia,1,tcc colombia,1,tcc colombia,1,tcc colombia,VERDADERO
134,ciudad,ciudad,1,ciudad,1,ciudad,1,ciudad,VERDADERO
135,alcaldiausaquen,alcaldia usa que n,0,alcaldia usaquen,1,alcaldia usaquen,1,alcaldia usaquen,VERDADERO
136,bibliotecasp,bibliotecas p,1,bibliotecas p,1,bibliotecas p,1,bibliotecas p,VERDADERO
137,ideal,ideal,1,ideal,1,ideal,1,ideal,VERDADERO
138,redapbogota,red a p bogota,0,red a p bogota,0,red a p bogota,0,red a p bogota,VERDADERO
139,lareporterasoyyo,la reportera soy yo,1,la reportera soy yo,1,la reportera soy yo,1,la reportera soy yo,VERDADERO
140,comparte,comparte,1,comparte,1,comparte,1,comparte,VERDADERO
141,aprevenirtodos,a prevenir todos,1,a prevenir todos,1,a prevenir todos,1,a prevenir todos,VERDADERO
142,patrudelanoche,pat rude la noche,0,pat rude la noche,0,pa trude la noche,0,pa trude la noche,VERDADERO
143,registroica,registro ica,1,registro ica,1,registro ica,1,registro ica,VERDADERO
144,mamadosdepetro,mama dos de petro,0,mama dos de petro,0,mama dos de petro,0,mama dos de petro,VERDADERO
145,motovallepuentearanda,moto valle puente aranda,1,moto valle puente aranda,1,moto valle puente aranda,1,moto valle puente aranda,VERDADERO
146,capitalnoticias,capital noticias,1,capital noticias,1,capital noticias,1,capital noticias,VERDADERO
147,actualidad,actualidad,1,actualidad,1,actualidad,1,actualidad,VERDADERO
148,envivo,en vivo,1,en vivo,1,en vivo,1,en vivo,VERDADERO
