,original,word_segmentation,Correct,v2,Correct 2,v2_twitter,Correct 3,v3_twitter,
149,sectormovilidad1,sector movilidad 1,1,sector movilidad 1,1,sectormovilidad 1,0,sectormovilidad 1,VERDADERO
150,seguridadvial,seguridad vial,1,seguridad vial,1,seguridad vial,1,seguridad vial,VERDADERO
151,mercedesbenzworld,mercedes benz world,1,mercedes benz world,1,mercedes benz world,1,mercedes benz world,VERDADERO
152,accidentevial,accidente vial,1,accidente vial,1,accidente vial,1,accidente vial,VERDADERO
153,noticiaendesarrollo,noticia en desarrollo,1,noticia en desarrollo,1,noticia en desarrollo,1,noticia en desarrollo,VERDADERO
154,queviolencia,que violencia,1,que violencia,1,que violencia,1,que violencia,VERDADERO
155,corferiasbogota,corferias bogota,1,corferias bogota,1,corferias bogota,1,corferias bogota,VERDADERO
156,youtube,youtube,1,youtube,1,youtube,1,youtube,VERDADERO
157,bogotiana,bogo tiana,0,bogo tiana,0,bogo tiana,0,bogo tiana,VERDADERO
158,estamostrabajando,estamos trabajando,1,estamos trabajando,1,estamos trabajando,1,estamos trabajando,VERDADERO
159,ultimahora,ultima hora,1,ultima hora,1,ultimahora,0,ultimahora,VERDADERO
160,andenes,andenes,1,andenes,1,andenes,1,andenes,VERDADERO
161,eltiempotele,el tiempo tele,1,el tiempo tele,1,el tiempo tele,1,el tiempo tele,VERDADERO
162,moto,moto,1,moto,1,moto,1,moto,VERDADERO
163,arcadia,arcadia,1,arcadia,1,arcadia,1,arcadia,VERDADERO
164,viernes,viernes,1,viernes,1,viernes,1,viernes,VERDADERO
165,candelaria,candelaria,1,candelaria,1,candelaria,1,candelaria,VERDADERO
166,canalcapital,canal capital,1,canal capital,1,canalcapital,1,canalcapital,VERDADERO
167,expedienteuribev,expediente uribe v,1,expediente uribe v,1,expediente uribe v,1,expediente uribe v,VERDADERO
168,transitobogota,transito bogota,1,transito bogota,1,transito bogota,1,transito bogota,VERDADERO
169,purapasion,pura pasion,1,pura pasion,1,pura pasion,1,pura pasion,VERDADERO
170,gabodelascasas,gabo de las casas,1,gabo de las casas,1,gabo de las casas,1,gabo de las casas,VERDADERO
171,bellavista,bellavista,1,bellavista,1,bellavista,1,bellavista,VERDADERO
172,colombiahardcore,colombia hardcore,1,colombia hardcore,1,colombia hardcore,1,colombia hardcore,VERDADERO
173,motero,motero,1,motero,1,motero,1,motero,VERDADERO
174,worldpressphoto,world press photo,1,world press photo,1,world press photo,1,world press photo,VERDADERO
175,enestemomento,en este momento,1,en este momento,1,en este momento,1,en este momento,VERDADERO
176,fallontonight,fallon tonight,1,fallon tonight,1,fallon tonight,1,fallon tonight,VERDADERO
177,lamega,la mega,1,la mega,1,la mega,1,la mega,VERDADERO
178,obteniendoconciencia,obteniendo conciencia,1,obteniendo conciencia,1,obteniendo conciencia,1,obteniendo conciencia,VERDADERO
179,umvbogota,um v bogota,0,um v bogota,0,umv bogota,1,umv bogota,VERDADERO
180,bogotaabierta,bogota abierta,1,bogota abierta,1,bogota abierta,1,bogota abierta,VERDADERO
181,6amcaracol,6am caracol,1,6am caracol,1,6am caracol,1,6am caracol,VERDADERO
182,citynoticias,city noticias,1,city noticias,1,citynoticias,1,citynoticias,VERDADERO
183,primersolodefagot,primer solo de fagot,1,primer solo de fagot,1,primer solo de fagot,1,primer solo de fagot,VERDADERO
184,atentos,atentos,1,atentos,1,atentos,1,atentos,VERDADERO
185,locsancristobal,lo c san cristobal,1,lo c san cristobal,1,lo c sancristobal,1,lo c sancristobal,VERDADERO
186,somosla92,somos la 92,1,somos la 92,1,somos la 92,1,somos la 92,VERDADERO
187,sabadosanto,sabado santo,1,sabado santo,1,sabado santo,1,sabado santo,VERDADERO
188,alcaldiakennedy,alcaldia kennedy,1,alcaldia kennedy,1,alcaldia kennedy,1,alcaldia kennedy,VERDADERO
189,curulesdelasvictimashttps,curules de las victimas https,1,curules de las victimas https,1,curules de las victimas https,1,curules de las victimas https,VERDADERO
190,lamilitar,la militar,1,la militar,1,la militar,1,la militar,VERDADERO
191,travelawesome,travel awesome,1,travel awesome,1,travel awesome,1,travel awesome,VERDADERO
192,mabellaranews,mabel lara news,1,mabel lara news,1,mabel lara news,1,mabel lara news,VERDADERO
193,caracoltv,caracol tv,1,caracol tv,1,caracol tv,1,caracol tv,VERDADERO
194,leydelembudo,ley del embudo,1,ley del embudo,1,ley del embudo,1,ley del embudo,VERDADERO
195,reddeapoyosic,red de apoyo sic,1,red de apoyo si c,0,red de apoyo si c,0,red de apoyo si c,VERDADERO
196,vivianarock,viviana rock,1,viviana rock,1,viviana rock,1,viviana rock,VERDADERO
197,bogotatransito,bogota transito,1,bogota transito,1,bogotatransito,0,bogotatransito,VERDADERO
198,malditapelired,maldita peli red,1,maldita peli red,1,maldita peli red,1,maldita peli red,VERDADERO
199,alkosto,al kost o,0,al kost o,0,alkosto,1,alkosto,VERDADERO
200,amariloconstruyendopais,amari lo construyendo pais,0,a marilo construyendo pais,0,amarilo construyendo pais,1,amarilo construyendo pais,VERDADERO
201,pentecostesversion,pentecostes version,1,pentecostes version,1,pentecostes version,1,pentecostes version,VERDADERO
202,parroquialasagradaeucaristia,parroquia la sagrada eucaristia,1,parroquia la sagrada eucaristia,1,parroquia la sagrada eucaristia,1,parroquia la sagrada eucaristia,VERDADERO
203,accidente,accidente,1,accidente,1,accidente,1,accidente,VERDADERO
204,hospitalsuba,hospital suba,1,hospital suba,1,hospital suba,1,hospital suba,VERDADERO
205,fiscaliacol,fiscalia col,1,fiscalia col,1,fiscalia col,1,fiscalia col,VERDADERO
206,desdeelbalc,desde el balc,1,desde el balc,1,desde el balc,1,desde el balc,VERDADERO
207,idubogota,idu bogota,1,idu bogota,1,idubogota,0,idubogota,VERDADERO
208,cesarsinarte,cesar sin arte,1,cesar sin arte,1,cesar sin arte,1,cesar sin arte,VERDADERO
209,lafucssabedesalud,la fu cs sabe de salud,0,la fu cs sabe de salud,0,la fu cs sabe de salud,0,la fu cs sabe de salud,VERDADERO
210,trasmilenio,tras milenio,0,tras milenio,0,trasmilenio,1,trasmilenio,VERDADERO
211,colmo,colmo,1,colmo,1,colmo,1,colmo,VERDADERO
212,chapinero,chapinero,1,chapinero,1,chapinero,1,chapinero,VERDADERO
213,emergenciasbgt,emergencias bgt,1,emergencias bgt,1,emergencias bgt,1,emergencias bgt,VERDADERO
214,aestahora,a esta hora,1,a esta hora,1,a esta hora,1,a esta hora,VERDADERO
215,excesodevelocidad,exceso de velocidad,1,exceso de velocidad,1,exceso de velocidad,1,exceso de velocidad,VERDADERO
216,fueradelestudio,fuera del estudio,1,fuera del estudio,1,fuera del estudio,1,fuera del estudio,VERDADERO
217,reportandoando,reportando ando,1,reportando ando,1,reportando ando,1,reportando ando,VERDADERO
218,concepciontang,concepcion tang,1,concepcion tang,1,concepcion tang,1,concepcion tang,VERDADERO
219,cruzrojabogota,cruz roja bogota,1,cruz roja bogota,1,cruz roja bogota,1,cruz roja bogota,VERDADERO
220,alertabogota,alerta bogota,1,alerta bogota,1,alerta bogota,1,alerta bogota,VERDADERO
221,protegeryservir,proteger y servir,1,proteger y servir,1,proteger y servir,1,proteger y servir,VERDADERO
222,quenotedejeelavi,que no te deje el a vi,1,que no te deje el a vi,1,que no te deje el a vi,1,que no te deje el a vi,VERDADERO
223,ambientebogotacon,ambiente bogota con,1,ambiente bogota con,1,ambiente bogota con,1,ambiente bogota con,VERDADERO
224,calle80,calle 80,1,calle 80,1,calle 80,1,calle 80,VERDADERO
225,transito,transito,1,transito,1,transito,1,transito,VERDADERO
226,movilidadbogota,movilidad bogota,1,movilidad bogota,1,movilidad bogota,1,movilidad bogota,VERDADERO
227,domingofitness,domingo fitness,1,domingo fitness,1,domingo fitness,1,domingo fitness,VERDADERO
228,policia,policia,1,policia,1,policia,1,policia,VERDADERO
229,deporteysalud,deporte y salud,1,deporte y salud,1,deporte y salud,1,deporte y salud,VERDADERO
230,felizviernes,feliz viernes,1,feliz viernes,1,feliz viernes,1,feliz viernes,VERDADERO
231,sectorsalud,sector salud,1,sector salud,1,sector salud,1,sector salud,VERDADERO
232,avenida68,avenida 68,1,avenida 68,1,avenida 68,1,avenida 68,VERDADERO
233,trafico,trafico,1,trafico,1,trafico,1,trafico,VERDADERO
234,tutransitobta,tu transito bt a,0,tu transito bt a,1,tu transitobta,0,tu transitobta,VERDADERO
235,calera,calera,1,calera,1,calera,1,calera,VERDADERO
236,rutassitp,rutas sitp,1,rutas sitp,1,rutas sitp,1,rutas sitp,VERDADERO
237,publimetrocol,publimetro col,1,publimetro col,1,publimetro col,1,publimetro col,VERDADERO
238,endesarrllo,en de sarr l lo,0,en de sarr l lo,0,en desarr l lo,0,en desarr l lo,VERDADERO
239,pendiente,pendiente,1,pendiente,1,pendiente,1,pendiente,VERDADERO
240,patincarrerachile,patin carrera chile,1,patin carrera chile,1,patin carrera chile,1,patin carrera chile,VERDADERO
241,vamosmisantafe,vamos mi santa fe,1,vamos mi santafe,0,vamos mi santafe,0,vamos mi santafe,VERDADERO
242,proteccionalideres,proteccion a lideres,1,proteccion a lideres,1,proteccion a lideres,1,proteccion a lideres,VERDADERO
243,elcaracterdecristo,el caracter de cristo,1,el caracter de cristo,1,el caracter de cristo,1,el caracter de cristo,VERDADERO
244,transitobta,transito bt a,0,transito bt a,1,transitobta,0,transitobta,VERDADERO
245,bajemoslealavelocidad,bajemos le a la velocidad,0,bajemos le a la velocidad,0,bajemosle a la velocidad,1,bajemosle a la velocidad,VERDADERO
246,artistasnacionales,artistas nacionales,1,artistas nacionales,1,artistas nacionales,1,artistas nacionales,VERDADERO
247,muerto,muerto,1,muerto,1,muerto,1,muerto,VERDADERO
248,todosecuraconamor,todo se cura con amor,1,todo se cura con amor,1,todo se cura con amor,1,todo se cura con amor,VERDADERO
249,elnoct,el noct,1,el noct,1,el noct,1,el noct,VERDADERO
250,wradiocolombia,w radio colombia,1,w radio colombia,1,wradio colombia,1,wradio colombia,VERDADERO
251,hotelestequenda,hotel este que nda,0,hotel este que nda,0,hotel este que nda,0,hotel este que nda,VERDADERO
252,ahumamosloquehacemos,a hum amos lo que hacemos,0,ahuma mos lo que hacemos,0,ahuma mos lo que hacemos,0,ahuma mos lo que hacemos,VERDADERO
253,localidad16,localidad 16,1,localidad 16,1,localidad 16,1,localidad 16,VERDADERO
254,calle13,calle 13,1,calle 13,1,calle 13,1,calle 13,VERDADERO
255,visioncerobog,vision cero bog,1,vision cero bog,1,vi si oncerobog,0,vi si oncerobog,VERDADERO
256,picoyplacaambiental,pico y placa ambiental,1,pico y placa ambiental,1,pico y placa ambiental,1,pico y placa ambiental,VERDADERO
257,colegiosanbartolomelamercedoficial,colegio san bartolome la merced oficial,1,colegio san bartolome la merced oficial,1,colegio san bartolome la merced oficial,1,colegio san bartolome la merced oficial,VERDADERO
258,cablenoticias,cable noticias,1,cable noticias,1,cablenoticias,1,cablenoticias,VERDADERO
259,chavismoenergiayvictoria,chavismo energia y victoria,1,chavismo energia y victoria,1,chavismo energia y victoria,1,chavismo energia y victoria,VERDADERO
260,sitp,sitp,1,sitp,1,sitp,1,sitp,VERDADERO
261,pieljovenytonificada,piel joven y tonificada,1,piel joven y tonificada,1,piel joven y tonificada,1,piel joven y tonificada,VERDADERO
262,lineasdevida,lineas de vida,1,lineas de vida,1,lineas de vida,1,lineas de vida,VERDADERO
263,lafm,la fm,1,la fm,1,la fm,1,la fm,VERDADERO
264,cuartafecha,cuarta fecha,1,cuarta fecha,1,cuarta fecha,1,cuarta fecha,VERDADERO
265,teodiosoldebogot,te odio sol debo got,0,te odio sol debo got,0,te odio sol de bogot,1,te odio sol de bogot,VERDADERO
266,amorfelino,amor felino,1,amor felino,1,amor felino,1,amor felino,VERDADERO
267,terapiasmasalla,terapias mas al la,0,terapias mas al la,1,terapias mas al la,0,terapias mas al la,VERDADERO
268,restrepo,restrepo,1,restrepo,1,restrepo,1,restrepo,VERDADERO
269,policiacolombia,policia colombia,1,policia colombia,1,policia colombia,1,policia colombia,VERDADERO
270,vialidad,vialidad,1,vialidad,1,vialidad,1,vialidad,VERDADERO
271,movilidadestereo,movilidad estereo,1,movilidad estereo,1,movilidad estereo,1,movilidad estereo,VERDADERO
272,acueducto,acueducto,1,acueducto,1,acueducto,1,acueducto,VERDADERO
273,sincandadoradio,sin candado radio,1,sin candado radio,1,sincandadoradio,0,sincandadoradio,VERDADERO
274,semanasanta,semana santa,1,semana santa,1,semana santa,1,semana santa,VERDADERO
275,caracolesm,caracoles m,1,caracoles m,1,caracoles m,1,caracoles m,VERDADERO
276,usme,usme,1,usme,1,usme,1,usme,VERDADERO
277,maderas,maderas,1,maderas,1,maderas,1,maderas,VERDADERO
278,todamiboda,toda mi boda,1,toda mi boda,1,toda mi boda,1,toda mi boda,VERDADERO
279,wazetrafficbog,waze traffic bog,1,waze traffic bog,1,waze traffic bog,1,waze traffic bog,VERDADERO
280,usaquenet,usa que net,0,usa que net,0,usaquen et,1,usaquen et,VERDADERO
281,frackingcolombia,fracking colombia,1,fracking colombia,1,fracking colombia,1,fracking colombia,VERDADERO
282,alexenlacalle,alex en la calle,1,alex en la calle,1,alex en la calle,1,alex en la calle,VERDADERO
283,reportets,reporte ts,1,reporte ts,1,reporte ts,1,reporte ts,VERDADERO
284,domiciliosbogot,domicilios bo got,0,domicilios bo got,0,domicilios bogot,1,domicilios bogot,VERDADERO
285,diarioextrabogo,diario extra bogo,1,diario extra bogo,1,diario extra bogo,1,diario extra bogo,VERDADERO
286,movistarco,movistar co,1,movistar co,1,movistar co,1,movistar co,VERDADERO
287,alaire,al aire,1,al aire,1,al aire,1,al aire,VERDADERO
288,objetadoduque,objetado duque,1,objetado duque,1,objetado duque,1,objetado duque,VERDADERO
289,deportescon,deportes con,1,deportes con,1,deportes con,1,deportes con,VERDADERO
290,numeral767,numeral 767,1,numeral 767,1,numeral 767,1,numeral 767,VERDADERO
291,movilidadinteligente,movilidad inteligente,1,movilidad inteligente,1,movilidad inteligente,1,movilidad inteligente,VERDADERO
292,cali,cali,1,cali,1,cali,1,cali,VERDADERO
293,aguantelaempanada,aguante la empanada,1,aguante la empanada,1,aguante la empanada,1,aguante la empanada,VERDADERO
294,nqs,nqs,1,nqs,1,nqs,1,nqs,VERDADERO
