,0
0,porlaviaxlavida
1,otraperiodista
2,genmasenergia
3,eldivinonene
4,claudia14175900
5,amo_elcafe
6,viejo_pollo
7,transitopolicia
8,c
9,sanchogallo21
10,lcacharro
11,clustergastronomia
12,inviasoficial
13,elmundoruedaxse
14,mepasoalafm
15,sehumano
16,pacom1974
17,marymatparra
18,line6
19,marcorozco1
20,romerovive
21,mindfulness9
22,vamosmillosalafinal
23,luciabastias
24,mejorperiodo
25,conductoragresivo
26,alesis
27,caracolradio
28,stevengalindo35
29,transmiseria
30,maorodriguezgon
31,moisesdurann
32,novoyalandino
33,invinitybutera
34,nataliamedinagc
35,transilenio
36,elcrimendelsiglo
37,canchakutecake
38,tup344
39,viajaryganar
40,adoptada
41,risinghell
42,juliochagui
43,drummers
44,sublimenap0
45,felizmartes
46,chinchemejia
47,kissme
48,kittenams
49,puntaxespn0779cnuevas
50,mateoleon1096
51,notlimits1996
52,magnoliavega
53,06feb
54,_galindoooo
55,repote
56,americas
57,tattoist
58,malparqueada
59,ayuno
60,sejuegaaestahora
61,transitobogotad
62,tremending
63,kafkiano
64,los120segundosdelgato
65,endesarrollo
66,jorgeantoniovega
67,victorrua94
68,cronicastransmi
69,jotavolatil
70,reportan
71,sitpbogota
72,alejauribet_
73,tempranoesmasbacano
74,misswxtch
75,noticiasrcn
76,adriandark87
77,animalpol
78,womanportrait
79,juanvaquero11
80,event
81,tr
82,prensapipepela1
83,canalrcn
84,rappicolombia
85,1abr
86,_tovaaaar_
87,endgameen
88,bogotrip
89,auntengohambre
90,cesarflechas
91,noctambulocity
92,eltiempo
93,ottogerardo
94,policiabogota
95,brinks
96,mercycorpsco
97,vargaspipe1946
98,viviansalazar
99,peluchesquiquesam
100,natacalixto
101,hamiltonchis
102,fontibon
103,stevenarce
104,meca10091
105,nancyaloma5
106,etib_sas
107,btacaosconelmetrico
108,lacalera
109,tmahora
110,cruzmedjp
111,bogotasemueve
112,noticiascapital
113,rafaela70598416
114,silviaromera1
115,prudenciaenlascalles
116,sylvanagomez
117,naelamusic
118,bluradioco
119,seguridadbog
120,lafmsiempre
121,tranc
122,bocarejo_jp
123,sangre
124,cam4birthday
125,dictador3
126,elojodlanoche
127,eldandy
128,puentearanda
129,circunvalar
130,sushiman
131,tmb
132,nanpao_
133,fontibonsomost
134,lafarradeespumas
135,pachoherrerajr
136,veggifood
137,tatarabat
138,shinyhunt
139,domingodememes
140,camaradamotero
141,ma
142,civicosbog
143,movilidad
144,pulzo
145,ppwcedritos
146,bogot
147,cantera_azull
148,cavaderosas
149,frankiemares
150,pavefra
151,bocadeseleccion
152,nataliacerab
153,gabbynaranjo14
154,uimunicipalista
155,elsaximena
156,ffgames
157,13ba
158,handpoke
159,dilianfrancisca
160,animalesbog
161,incidentevial
162,jasanbol
163,sitpayuda
164,kindergartenclassroom
165,central
166,elluquillo
167,gomezandresl1
168,felipearias71
169,danielmontoyavp
170,teala
171,airqualityindia
172,entusiasmo
173,porlosamigostuiteros
174,danijandrojas
175,waze_bog
176,felipe_arbelaez
177,lareinalagarto
178,anatavera2018
179,gabitapalacios
180,rcnradio
181,sectormovilidad
182,joesbaq
183,ocesacolombiafalt
184,imprudencia
185,noticiascaracol
186,elteamdelafuria
187,sandralopezxxx
188,toyotas
189,idiger
190,noticiasuno
191,arribabogota
192,movilidadtotal
193,cablenoticiasqr
194,mariaisabelrued
195,dinosurios
196,fantasmasm
197,anacaliente098
198,dannpas
199,lakalle
200,elespectador
201,ahora
202,seguimoscontoda
203,atravezdelvaso
204,bestiasdriving
205,transmilenio
206,3033fabio
207,taichistudio
208,cazainfractor
209,citytv
210,laxmasmusica
211,silverhayes
212,siainforma
213,lamaitrez
214,davidstephen1
215,farruoficial
216,ballesterosleo
217,policianalcol
218,datagran
219,karlos_cadc
220,lassocrack
221,19b75bcd1314436
222,avenida
223,4sdm
224,carlosarturosot
225,pueblo
226,avsolutioncolom
227,forop
228,doblevmoreno_
229,carmenboullosa
230,trampasmortales
231,calicalentura
232,lologr12
233,jcamiloramirezg
234,bchaverra1
235,leolegg
236,urgente
237,impactoparanormal
238,reporte
239,xime_arce
240,mojitos_shots_venezueladon
241,n_sauvage2
242,petroides
243,arojaspa
244,jonathanliscano
245,salerosa19
246,mv30
247,socializar
248,qu
249,sebaasar
250,lahostii
251,atencion
252,facebooklive
253,davis
254,lasoniaca
255,gerv352gmailco1
256,samuelrchacon
257,antonioixcot_pl
258,galeano1980
259,andresfelariasque
260,deespacio
261,medimasepsnosedetiene
262,santiago101297
263,bogotaparticipa
264,cpjamericas
265,fuerasanguinettiperdedor
266,cristianyaber
267,alaninsoflo
268,usaqu
269,carlittosdiaz
270,marialemoralesm
271,bogota
272,tristeza
273,accidentedetransitobogota
274,adrianasalud
275,alertabogot
276,mhafecasallas
277,burdaecriminal
278,tranviabgta
279,onepintoperez
280,cdcgov
281,cumshotsdaiiy
282,darcyquinnr
283,laluciernaga
284,asiandubnews
285,jberriolopez
286,treyarchpc
287,redmasnoticias
288,margarethflow18
289,sebaswords
290,citynoticiasfds
291,redmastv
292,atilajcm
293,citynoticiasmd
294,bomberosbogota
295,am
296,sylchebi
297,crisstianho
298,infobogotaet
299,noticia
300,normandia
301,tcccolombia
302,danielaengordon
303,ricardocor2302
304,infobogot
305,ciudad
306,alcaldiausaquen
307,lacarinosa1420
308,policiamilitar13
309,intensaris
310,danielsampero
311,madridistas
312,bibliotecasp
313,bdwhoresfree
314,ideal
315,redapbogota
316,vickydavilah
317,lareporterasoyyo
318,una_rubiamas
319,reporteropablo
320,marr0122
321,comparte
322,cadenasertele
323,aprevenirtodos
324,patrudelanoche
325,carlitosrocha12
326,myoelectric
327,maelo442
328,registroica
329,mamadosdepetro
330,motovallepuentearanda
331,capitalnoticias
332,marcevargassu
333,carlosenam
334,195bogota
335,actualidad
336,hillsongla
337,brosvolunbogota
338,erikafontalvo
339,josmanueltovar8
340,jaramillojuaneduardo
341,envivo
342,elpais_brasil
343,centro_suba
344,sectormovilidad1
345,andresbarfa
346,acuarelatattoos
347,_marioydavid
348,seguridadvial
349,ficharr
350,mercedesbenzworld
351,accidentevial
352,noticiaendesarrollo
353,queviolencia
354,corferiasbogota
355,youtube
356,bogotiana
357,estamostrabajando
358,irancastillocom
359,ultimahora
360,andenes
361,eltiempotele
362,jdcastellanoso
363,reselleroffer
364,moto
365,enriquepenalosa
366,arcadia
367,viernes
368,jessikasotho
369,candelaria
370,respaldodrvaldes
371,canalcapital
372,puerto_karen13
373,jorgecruz_art
374,tiempoderestituci
375,expedienteuribev
376,transitobogota
377,purapasion
378,gabodelascasas
379,bellavista
380,camilofarid420
381,kareeeeeen_c
382,colombiahardcore
383,cient
384,motero
385,sarah_mod3l
386,worldpressphoto
387,luisfervillegas
388,sml
389,enestemomento
390,fallontonight
391,lamega
392,obteniendoconciencia
393,umvbogota
394,as_tomasroncero
395,almejal
396,bogotaabierta
397,thommazb
398,6amcaracol
399,damianmayorga7
400,nikolazito
401,damilercf
402,citynoticias
403,primersolodefagot
404,atentos
405,valentina_r2
406,yoliartigas
407,locsancristobal
408,somosla92
409,migueljotajota
410,ang_rm
411,sabadosanto
412,martamilenab
413,motocilista
414,alcaldiakennedy
415,curulesdelasvictimashttps
416,ginecofutbol
417,kb4lleronegro
418,lamilitar
419,leosierra065
420,motorbreath696
421,travelawesome
422,mabellaranews
423,viicasomiafus
424,cecimosquera
425,caracoltv
426,elitesportgk
427,leydelembudo
428,solaleterranova
429,tifalockhart
430,verspasbta
431,desconf
432,reddeapoyosic
433,tanyaji98991687
434,cesargrisales5
435,vivianarock
436,bogotatransito
437,xaavi_14
438,malditapelired
439,_camilovilla
440,zonaghanja
441,simplementecar6
442,jnietoblanco
443,mcvaliente
444,alkosto
445,amariloconstruyendopais
446,fontibon_bogota
447,pentecostesversion
448,parroquialasagradaeucaristia
449,leonardosherif
450,accidente
451,hospitalsuba
452,fiscaliacol
453,desdeelbalc
454,idubogota
455,cesarsinarte
456,lafucssabedesalud
457,tranconcll13
458,noct
459,destinoseguro_l
460,trasmilenio
461,colmo
462,chapinero
463,emergenciasbgt
464,aestahora
465,andresramosroch
466,noticiasbta
467,excesodevelocidad
468,fueradelestudio
469,123_bogota
470,reportandoando
471,concepciontang
472,cruzrojabogota
473,alertabogota
474,protegeryservir
475,gnb2dojemgtodos
476,quenotedejeelavi
477,arribabogot
478,ambientebogotacon
479,calle80
480,jesasa2010
481,jairojoseperez8
482,victor__europe
483,transito
484,copirrai
485,jcruzs3
486,raularrieta1
487,movilidadbogota
488,maleenergy
489,atenci
490,domingofitness
491,luis_e_munoz
492,ilovethem
493,ac_giggi
494,caobos
495,bog_eldorado
496,lopinion_fr
497,lafmbogot
498,vdazamorelli
499,ameribluesradio
500,brandalaire
501,yasmillopez5
502,pplgbt
503,policia
504,deporteysalud
505,felizviernes
506,portrait
507,oscareduardoju5
508,alexandramonto
509,guapachosa
510,bebec
511,hipsters
512,javierleoqui
513,muslimwomenuk
514,mbechandia
515,dgartnerc
516,sectorsalud
517,juansq1
518,leokik20
519,alfredo25858432
520,foono
521,kamarticu
522,antonelahotwife
523,thegrangejarra
524,jessicahdezg
525,jocrogo
526,womenevolutionmad
527,avenida68
528,trafico
529,tutransitobta
530,calera
531,rutassitp
532,publimetrocol
533,bloombergdotorg
534,siulingjones
535,anasaddfia
536,endesarrllo
537,carlossdara
538,pendiente
539,patincarrerachile
540,mfinchnoyes
541,adidasshoes
542,ksvillao
543,vamosmisantafe
544,proteccionalideres
545,41831eb604694f5
546,sgeneralbogota
547,jkkarrillo
548,elcaracterdecristo
549,carolinadiiaz
550,amparisb
551,garc
552,mariantonietach
553,mevcundinamarca
554,transitobta
555,v
556,nidiaknow
557,bajemoslealavelocidad
558,artistasnacionales
559,muerto
560,todosecuraconamor
561,elnoct
562,malena11645su
563,_kateerodriguez
564,katniss
565,wradiocolombia
566,avdsuba
567,steinpipe
568,kuka
569,fullframe
570,andrezor2
571,cesarhe64975362
572,janisbaj
573,hotelestequenda
574,ahumamosloquehacemos
575,localidad16
576,calle13
577,visioncerobog
578,dianaminatoc
579,picoyplacaambiental
580,salcita
581,cenicafe
582,ruizadrianam
583,tuiterosentm
584,rodrimartut
585,initiativeqeste
586,colegiosanbartolomelamercedoficial
587,cablenoticias
588,vaderside
589,chavismoenergiayvictoria
590,jfcadavid
591,sitp
592,foodism
593,artesan
594,miedoatrompiaputin
595,pieljovenytonificada
596,lineasdevida
597,jsanchezcristo
598,citiesforpeople
599,david45875637
600,wendyjacomea
601,lafm
602,cumbrenovofutbol
603,cuartafecha
604,luismorales0621
605,nk_criminalsoul
606,javierd79434714
607,teodiosoldebogot
608,amorfelino
609,raulmendivelsor
610,terapiasmasalla
611,carmenestrellad
612,carlosholmestrucolombia
613,alcaldiasuba11
614,multandobog
615,zachmorri5
616,btsincolombia
617,restrepo
618,raptor24_
619,cafro
620,asmedospina
621,wilder_mendezc
622,la_cochota
623,creative_portraits
624,dasatotoro
625,zfbta
626,policiacolombia
627,walejandrosan
628,carmendico
629,acidente_de_tr
630,vialidad
631,movilidadestereo
632,acueducto
633,sincandadoradio
634,absolutborja
635,semanasanta
636,caracolesm
637,barbara_lopez21yo
638,gusgomez1701
639,ricxman
640,usme
641,maderas
642,infoprojects_
643,todamiboda
644,aguirrecris15
645,dibega81
646,jorge_escom
647,policiacmarca
648,fdbedout
649,123
650,ricardoarenaso
651,castrojorge_
652,curiousaboutarmy
653,friendsesta
654,sertecorp1
655,menchibarriocan
656,cristianrojaso
657,jairoamaya
658,mimillos_news
659,elpatrullero_
660,wazetrafficbog
661,imasivo2019
662,mrivas46
663,usaquenet
664,frackingcolombia
665,alexenlacalle
666,lo
667,reportets
668,domiciliosbogot
669,diarioextrabogo
670,dhidalgo65
671,bermesemouintain
672,movistarco
673,sunsetsniper
674,seriouslyscarlett
675,serenityfilm
676,transmisitp
677,alaire
678,soniatitola22
679,itsmarayaa
680,camaro
681,kykegarciaa
682,applemac
683,objetadoduque
684,harmankardon
685,alca_martires
686,autopistanorte
687,cumbrecp
688,movilidadbogot
689,camila_dlen8
690,fatal
691,deportescon
692,josdavidrod
693,numeral767
694,imolinape
695,actualidad_o
696,majo_delatorre
697,bulletjournal
698,fairfriday
699,movilidadinteligente
700,propisitos2019
701,colombiaalaire
702,10
703,cali
704,prlife
705,movilidadenbogot
706,juanbernalm
707,manolitosalazar
708,aetapi
709,fontib
710,d
711,aguantelaempanada
712,nqs
